ts_ms,event_id,period,display_clock,home_team,home_score,away_team,away_score,home_score_delta,away_score_delta,game_state,event_type
1781867604233,760444,0,0',BRA,0,HAI,0,0,0,pre,start
1781867610588,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781867640890,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781867670431,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781867700897,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781867730833,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781867760217,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781867790378,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781867820596,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781867850523,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781867880461,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781867910495,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781867940476,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781867970542,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868000430,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868030481,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868060266,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868090212,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868120166,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868150820,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868181000,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868210162,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868240690,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868271009,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868300326,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868330589,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868360188,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868390115,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868420981,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868450935,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868480904,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868510957,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868540884,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868570881,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868600788,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868630817,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868660770,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868690895,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868721000,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868750063,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868780088,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868810120,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868840148,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868870063,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868871088,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868900906,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868930347,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868960634,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868990007,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781868991039,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869020870,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869050663,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869080606,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869110507,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869140325,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869170448,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869200441,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869230430,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869260338,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869290330,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869320322,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869350560,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869380593,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869410641,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869440617,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869470618,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869500557,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869530362,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869560475,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869590242,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869620110,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869650016,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869651040,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869680087,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869710015,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869711064,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869740860,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869770742,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869800942,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869830177,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869860079,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869890012,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869891035,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869921031,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869950209,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781869980560,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870010459,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870040505,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870070384,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870100300,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870130124,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870160929,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870190148,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870220426,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870250536,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870280470,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870310444,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870340389,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870370535,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870400846,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870430183,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870460442,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870490558,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870520580,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870550813,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870580867,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870610997,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870640132,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870670329,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870700458,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870730487,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
1781870760540,760444,0,0',BRA,0,HAI,0,0,0,pre,heartbeat
