asset_id,condition_id,outcome,question,end_date,active,taker_fee_bps
67640407242191262946549532245753755476896017278789975488277728994227639814626,0xb45645188f311ecc46f8cdb80b02c29a345d4933cf6b73664b09d3131a2d16d9,NO,Türkiye vs. Paraguay: O/U 1.5,2026-06-20,1,10000000
28441176215937535229574789121313785139710903069737260557455579246160908737598,0x807154f7609db2c7585d9e1325b383721e923a6e199c6bdbdf3d8a9698db9029,NO,Türkiye vs. Paraguay: O/U 7.5 Total Corners,2026-06-20,1,10000000
77138453546797954317507695449226687088044345390896425164447349366789464602448,0x93a234f052fb6d73c1f1b2e3c2574c36f20d51037c6ac8555cc36075510d6ca7,NO,Türkiye vs. Paraguay: O/U 10.5 Total Corners,2026-06-20,1,10000000
73376975952781515929208776725302659582021223775569591634280020514951532230480,0x611378763b8bd56a7343d95dc02163c67a84b95fc8b194532a042470efe8e0af,YES,United States vs. Australia: 2nd Half O/U 2.5,2026-06-19,0,10000000
52266008260981229173035057725757271358467029394247987383471259535427848413049,0xe14470556d589aeb315f9b850a093eddac4114762b892ea616541ef6a36c476a,NO,Scotland vs. Morocco: Morocco O/U 0.5,2026-06-19,0,10000000
67204425326887673736186103243452148454672392722096996979937701400399316503635,0x59334a9bc4d2132113e8daab63a9f98e58446afe76fb00e4851f25c010707d6c,YES,Brazil vs. Haiti: Haiti O/U 1.5,2026-06-20,0,10000000
111497500668145884676906166930937783530460260584673133314101570028136025045844,0xaa49e6231c481d57f630db568313731070c0e3fc68c2af40d6234e3d901139c8,YES,Brazil vs. Haiti: Brazil O/U 6.5 Corners,2026-06-20,1,10000000
91930361717376937879911358130922035830480107758627653650602081851778995065976,0xe505bb7b772d8cd4027d3b5fbcb627e9d8034f009726e975075cb99d2f8c1613,YES,Brazil vs. Haiti: Brazil 1st Half O/U 0.5,2026-06-20,0,10000000
53040108756407410024881442430380594862669624972720592218044430531056220026931,0x4f9730fc10a8c209173129ef5bfc91ae76242037ca0d9777623f9f47e67c7202,NO,Türkiye vs. Paraguay: Paraguay O/U 0.5,2026-06-20,1,10000000
89200679224836524451176773174012735358804103255549361039746892181727935903546,0x55d02472c6ffe437409ece155de9d50f82f0f366d93f058d9c3d719db467c1fc,NO,Scotland vs. Morocco: O/U 2.5,2026-06-19,0,10000000
37862448925828785736529925582036366840856246522824849129301506234306828913139,0xf4c9111e81a23a4d80dffdffb664907a6f9695385db57e5a30cb56465c1f545d,NO,United States vs. Australia: Both Teams to Score in Second Half,2026-06-19,0,10000000
107364634720688268720304066970492965279829229768607203450216429714735242840985,0x0455b0b4ad19700dbfa1d6710b0cf310450cb9e95ea0946fbd16d0f4cf4039db,NO,Scotland vs. Morocco: O/U 3.5,2026-06-19,0,10000000
9953924443730975228908152516397559808786291761493410997530932635776941199133,0x184c20e0072983063a7bfded6f8147b5f6c3f919cb41e70fd77d9540d99dc424,NO,Türkiye vs. Paraguay: 1st Half O/U 0.5,2026-06-20,1,10000000
40022799179733864494634661739504461561410525408384286538366607436789668597630,0x284adee1a144a754ccc899a52947533c828b25a5feb6d4028eaa8542ca2d8d66,YES,Brazil vs. Haiti: O/U 6.5,2026-06-20,0,10000000
22657762016668330848060185473116341121955981475103259807811607892328112532203,0xb9275e5de263eb01555279db80db363cb631912b944878805bfb1e9062b7298c,NO,Scotland vs. Morocco: O/U 1.5,2026-06-19,0,10000000
21743024270693945004142433411957668242868545919018194029648040393178726723933,0x8e4a4c0c8a12798216d32432b6a964b7940927865fd89ed5d27bb773198496e2,YES,Brazil vs. Haiti: O/U 10.5 Total Corners,2026-06-20,0,10000000
36049727514471868534516815302696156239493544207836932982580513229112862775947,0x125c6b3533bcc66c75e1f1a61c8537f85df01516f49228d0c2dbcf7917b2a969,NO,United States vs. Australia: 1st Half O/U 0.5,2026-06-19,0,10000000
91398169009169268289990910111370857940924467983590837745002190143828560023744,0xd9eb62ff052029b8eebd6686fd6dd39a271830690dc8bcab47148ccdf008a99d,YES,Scotland vs. Morocco: O/U 6.5,2026-06-19,0,10000000
36228669707248133931580947629082732160338961318409454215499649448353715467454,0x3a2006e268eb923beaecccc38fa41a3abe42ba9bf21a545e21af8c5a3ca087af,YES,Türkiye vs. Paraguay: O/U 3.5,2026-06-20,1,10000000
85911308040494483480030416439060074957539965791825135197825895995633280069958,0x76a322fe5bca234a663c3ca89fe339d1f1851ab48f323404596452603e41e790,YES,Scotland vs. Morocco: O/U 0.5,2026-06-19,0,10000000
28603208184706427943260896057203131300343416067479739458095634139045080006663,0x227e39491eefa64d2ce6776f4b182ca2247e34c9771d0e565d7297c72fcfbc79,NO,Scotland vs. Morocco: O/U 5.5,2026-06-19,0,10000000
38980393001699431602036850710365553729535038999459289039990949888214153995600,0xff9e348fb98f693e2daeac7227b08946271b2a194f11c82f8f0b947cdab24822,NO,Türkiye vs. Paraguay: Draw at halftime?,2026-06-20,1,10000000
84642552435735557059981295244521198923895829009370030540459953092696165769177,0xf10975c17a816d932787bcefb329df66ceb16e3942cf789ebae5c4bf9284e870,YES,Türkiye vs. Paraguay: O/U 8.5 Total Corners,2026-06-20,1,10000000
64953644441039296888512562879634682057746371376144175440830773066163810441171,0xcd50c189acd4962542bc78f40dbf990e194eee05728282a6f1769c1a2125326c,NO,Brazil vs. Haiti: O/U 11.5 Total Corners,2026-06-20,0,10000000
78453112419911900457453674117622059160474420293094007893768402383132798345335,0x74ddb324bc2a4d8ee9da894f6317d11412119da68f173f5cafffcba04ea3fcde,YES,Scotland vs. Morocco: O/U 10.5 Total Corners,2026-06-19,0,10000000
67717331907432390702941820895611962683940897734871354654819829386689604323907,0x8a9ea8db56d753cba283cd811be520a8599bb3bc4508bdab619fc2aa5f9e88b0,YES,Brazil vs. Haiti: Neither team to score first?,2026-06-20,0,10000000
113445956220741467077386974472925615466070020420898844856079841261607832603439,0xa70fe9df0be74e350f2dadacca6f73926b10fe803bdf2dd2e2c46abfbf9492f3,NO,Türkiye vs. Paraguay: Türkiye O/U 4.5 Corners,2026-06-20,1,10000000
67830867801389194442100793267977037311043107496177501609705639561566636920683,0x300e32ca5a62a4980bc95e5e3885930f8b888d26d46fb61e3dd11d87700618e3,YES,United States vs. Australia: Both Teams to Score,2026-06-19,0,10000000
103546687106856781145232746010321555802081905565434022473055412318113482061570,0x6cc53d624f4831c0dd54087e70ee036590f7504ecd991094f0f36a591f4c9e3e,NO,United States vs. Australia: O/U 4.5,2026-06-19,0,10000000
43068763180000640829152098796323775498398522416921759912473949776827144598358,0x55d02472c6ffe437409ece155de9d50f82f0f366d93f058d9c3d719db467c1fc,YES,Scotland vs. Morocco: O/U 2.5,2026-06-19,0,10000000
78223348693717424771020365173507421531877760451518392427228472575929849408244,0x653930b7fc6f8f670a769980f4d58001165e44c9e168557d3ec6b124b4bb6b85,YES,United States vs. Australia: O/U 0.5,2026-06-19,0,10000000
32780357226587269291523480509376492924704918115434663421919465116619165682262,0xfabcc41afc9aa2a019a4714f151d58b43650fdc1694f57123a31e0c6b99b9b65,NO,Brazil vs. Haiti: Haiti O/U 0.5,2026-06-20,0,10000000
33379932791927881759716701220577902642636247706392958566872483556577821861789,0xa7a1a0c511b5e5c14b1b0f689c1828459be94888c522c103f3221181730a4031,NO,Brazil vs. Haiti: O/U 1.5,2026-06-20,0,10000000
71145165271313987491922508096895091853129264958644085870606705831788319955122,0x667fcdc81f83eb830cdde30c61e1a57606bc144f86cea92cc37dc1cde99f8de4,YES,Brazil vs. Haiti: O/U 8.5 Total Corners,2026-06-20,0,10000000
82140747314088109224263563110435843227797250733668217557290148433998160694322,0x2c56a3cfb946315414917ddc50f6ed85478248a4d5f3c28fde5acff489a2bdfc,YES,United States vs. Australia: 1st Half O/U 1.5,2026-06-19,0,10000000
21364151590643068257102431038419634684875322015473717322288341577291283710649,0xcd5ffcde42d1d0be8698a69854cad0b67a59e24eaf972ba7889ecfb028805983,NO,Brazil vs. Haiti: 1st Half O/U 0.5,2026-06-20,0,10000000
47356681720511943092679759397235396891807889947369244379834915176366339787890,0x36a22ea3278a9c5ccd0b86df5b90cb53e10aa9a29634d49ab136d890342ff444,YES,United States vs. Australia: United States 1st Half O/U 0.5,2026-06-19,0,10000000
349746815039688789192075219781901880662200339119815330753661008325951507030,0x847437c87f50c88bd3b7501afb272b5d8df1e1eb6783fbbcfcf697275ac6e50b,YES,United States vs. Australia: 1st Half O/U 4.5 Total Corners,2026-06-19,0,10000000
103323144835679668310957397275196347452770448028059248929738671034467006348016,0x7b830121eb0c58c5f4161ecd626af187d199ba1ed7a705a696ebf93e84a1423f,NO,Brazil vs. Haiti: O/U 3.5,2026-06-20,0,10000000
63064859847928824247790994162580308946494044030790157475170619309871712352,0x9ba41cafec0ffa64afc703348ff66303c1576c1a4d9691d7583bc1e31dd30db8,NO,United States vs. Australia: O/U 8.5 Total Corners,2026-06-19,0,10000000
