ts_ms,event_id,period,display_clock,home_team,home_score,away_team,away_score,home_score_delta,away_score_delta,game_state,event_type
1781867604228,760445,0,0',SCO,0,MAR,0,0,0,pre,start
1781867610753,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781867640114,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781867670050,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781867700393,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781867730350,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781867760515,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781867790019,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781867791055,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781867820271,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781867850227,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781867880188,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781867910075,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781867941030,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781867970941,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868000829,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868030762,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868060624,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868090503,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868120430,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868150603,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868180379,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868210352,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868240603,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868271025,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868300251,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868330419,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868360231,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868390203,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868420052,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868421083,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868450027,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868451060,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868480925,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868510888,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868540855,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868570830,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868600773,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868630897,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868660986,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868690941,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868720052,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868750229,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868780199,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868810309,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868840257,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868870184,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868900034,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868901060,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868930304,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868960633,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781868990138,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781869020083,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781869050864,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781869080797,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781869110711,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781869140599,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781869170544,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781869200568,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781869230527,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
1781869260480,760445,0,0',SCO,0,MAR,0,0,0,pre,heartbeat
