ts_ms,event_id,period,display_clock,home_team,home_score,away_team,away_score,home_score_delta,away_score_delta,game_state,event_type
1781867604208,760443,0,0',TUR,0,PAR,0,0,0,pre,start
1781867610631,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781867640889,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781867670636,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781867700197,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781867730199,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781867760638,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781867790106,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781867820502,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781867850643,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781867880579,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781867910495,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781867940444,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781867970483,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868000492,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868030489,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868060323,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868090300,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868120262,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868150597,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868180071,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868210089,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868240380,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868270527,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868300015,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868301061,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868330179,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868360366,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868390183,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868420079,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868451020,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868480898,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868510864,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868540819,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868570828,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868600778,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868630792,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868660744,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868690716,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868720949,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868750291,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868780422,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868810433,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868840449,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868870383,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868900253,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868930708,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868960819,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781868990148,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869020047,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869021074,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869050890,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869080853,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869110800,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869140668,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869170575,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869200560,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869230576,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869260424,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869290429,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869320323,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869350616,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869380621,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869410623,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869440647,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869470565,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869500509,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869530351,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869560542,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869590317,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869620111,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869650012,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869651036,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869680941,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869710865,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869740643,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869770572,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869800596,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869830954,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869860871,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869890792,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869920703,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869950059,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781869980434,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870010238,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870040233,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870070083,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870100036,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870101059,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870130871,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870160606,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870190839,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870220967,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870250155,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870280138,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870311002,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870340916,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870370982,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870400111,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870430781,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870461028,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870490291,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870520243,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870550528,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870580481,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870610536,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870640637,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870670783,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870700935,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870731033,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870760055,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870761091,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870790213,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870820363,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870850388,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870880233,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870910389,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870940465,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781870970807,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871000967,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871030062,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871031097,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871060240,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871090134,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871120414,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871180070,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871210042,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871241011,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871270912,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871300668,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871330484,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871360308,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871390615,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871420927,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871451012,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871480984,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871510990,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871541008,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871570089,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871600166,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871630343,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871660414,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871690659,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871720728,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871750779,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871780971,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871811027,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871840425,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871870168,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871900899,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871930121,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871960208,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781871990403,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872020694,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872050575,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872080874,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872110823,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872140947,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872170181,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872200372,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872230852,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872260138,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872290152,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872320763,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872350548,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872380705,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872410593,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872440677,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872471013,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872500436,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872530804,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872560034,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872561074,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872590270,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872620965,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872650870,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872680136,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872710393,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872740599,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872770725,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872800816,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872830034,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872831057,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872860267,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872890585,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872920750,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872950046,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872980012,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781872981053,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873010354,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873040825,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873070119,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873100275,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873130778,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873161015,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873190037,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873220570,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873250013,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873251071,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873280973,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873310112,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873340271,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873370513,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873400846,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873430022,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873431066,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873460329,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873490737,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873520089,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873550569,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873580955,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873610111,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873640902,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873670677,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873700132,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873730026,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873731089,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873760337,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873790740,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873820921,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873850749,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873880846,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873911002,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873941088,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781873970273,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874000202,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874030268,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874060431,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874090627,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874120968,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874150943,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874180202,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874210682,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874240631,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874270823,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874300953,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874330245,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874360594,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874390920,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874420049,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874421081,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874450020,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874451064,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874480027,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874481061,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874510872,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874541004,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874570959,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874600886,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874630162,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874660419,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874690678,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874720972,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874750340,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874780456,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874810618,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874840955,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874870207,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874900463,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874930552,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874960550,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874990042,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781874991086,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875020454,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875050383,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875080490,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875110712,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875140675,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875170039,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875200371,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875230211,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875260550,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875290937,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875320329,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875350890,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875381027,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875410839,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875440114,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875470274,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875500604,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875530254,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875560480,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875590736,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875621028,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875650428,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875680682,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875710978,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875740252,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875770408,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875800698,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875830079,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875860534,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875890839,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875920022,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875921077,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875950272,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781875980722,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781876010139,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781876040558,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781876070870,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781876100015,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781876101087,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
1781876130758,760443,0,0',TUR,0,PAR,0,0,0,pre,heartbeat
